position COMBINED_rate(cM/Mb) Genetic_Map(cM)
9795 0.3516610754 0
11231 0.3500036909 0.0005049853
11244 0.3494018702 0.0005095354
11799 0.3501262382 0.0007034534
12150 0.3558643956 0.0008263477
12934 0.3567249058 0.0011053454
13288 0.3633379498 0.0012316260
14370 10.0482361599 0.0016247577
16749 10.0517109160 0.0255295115
17094 10.0518361874 0.0289973518
17408 10.0527922413 0.0321536283
19079 10.0521240689 0.0489518442
19093 10.0521240689 0.0490925739
20892 6.4583513881 0.0671763451
22347 4.1957323346 0.0765732464
23254 0.5876563164 0.0803787756
24962 0.5881145274 0.0813824926
28655 0.5905878431 0.0835543995
30416 0.5900214095 0.0845944247
31570 0.5901156426 0.0852753094
33116 0.5905492957 0.0861876282
35416 0.5894418186 0.0875458916
38984 1.5912191012 0.0896490200
39088 3.2324197134 0.0898145068
39227 4.0126812611 0.0902638131
39346 5.1608783007 0.0907413222
39508 5.5025614395 0.0915773845
39707 5.3017757277 0.0926723942
40366 2.4694493815 0.0961662644
40527 0.7741229426 0.0965638458
40891 0.3370408076 0.0968456265
43093 0.3415255752 0.0975877904
44931 0.3690810280 0.0982155144
45122 0.3898401788 0.0982860089
45394 0.4183862936 0.0983920454
46930 0.4777666028 0.0990346867
48272 0.4273585241 0.0996758495
48505 0.3523615634 0.0997754240
48699 0.2398615568 0.0998437822
49362 0.2003561247 0.1000028104
49905 0.1790778991 0.1001116038
50181 0.1614560717 0.1001610293
50799 0.1554960424 0.1002608091
51517 0.1548470571 0.1003724553
55201 0.1549620796 0.1009429118
56187 0.1553509108 0.1010957045
56328 0.1556876121 0.1011176089
57272 0.1563383116 0.1012645780
57377 0.1568722032 0.1012809936
69976 0.1571019321 0.1032574265
70508 0.1573717636 0.1033410047
72302 0.1617015123 0.1036233296
72412 0.1682452244 0.1036411168
72998 0.4545609651 0.1037397085
73121 0.8705292755 0.1037956195
73538 11.3432717837 0.1041586302
74529 11.3432717837 0.1153998125
74600 11.3415498859 0.1162051848
74614 11.3328596789 0.1163639665
74678 9.9331185812 0.1170892695
74760 1.1631798499 0.1179037853
74923 0.9258851694 0.1180933836
75194 0.9011221261 0.1183442985
75720 0.8994023974 0.1188182887
75952 0.8981434747 0.1190269501
76713 0.9072027286 0.1197104372
77013 0.9138042579 0.1199825981
77063 0.9124308836 0.1200282883
77613 0.4709833401 0.1205301253
77635 0.4709512544 0.1205404869
77864 0.2150728292 0.1206483347
79495 0.2032857738 0.1209991185
79657 0.1996710440 0.1210320508
80775 0.2623375257 0.1212552830
81158 0.2634647086 0.1213557583
81900 1.2627882307 0.1215512491
82017 6.5215796742 0.1216989954
82476 6.4935573542 0.1246924004
82539 6.4636525819 0.1251014945
82643 6.4630458305 0.1257737144
82844 1.7954147782 0.1270727866
82931 1.4364848171 0.1272289877
83488 0.3597451230 0.1280291097
83897 0.3719949707 0.1281762455
